Country,Features,Region,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
        Tajikistan,net consumption,Eurasia,13.29,13.235,14.137,13.817,14.223,14.425,14.632,14.471,14.88,13.916,14.0849,13.77772,13.69456,13.46936,11.8934,12.97528,12.959,13.68914,14.21318,15.26358,15.6938,15.67030669
        Turkmenistan,net consumption,Eurasia,6.854,6.633,7.503,7.619,8.405,9.019,9.67,10.57938,10.58878,11.365,11.1244,11.4528,11.736,12.5088,13.425,15.09196,15.09196,15.092114,15.092154,15.092154,14.02169132,15.23232021
        Ukraine,net consumption,Eurasia,125.121,125.92,127.038,132.959,139.897,142.143,147.998,152.942861,152.487,138.804,152.5179,156.279,154.12248,151.73284,143.32786,133.6114,133.20646,123.70406,127.14508,123.35464,127.15727,134.2524318
        Uzbekistan,net consumption,Eurasia,41.264,38.084,38.469,38.143,38.226,38.84,37.197,39.03,32.9016,36.8868,39.11402,40.37394,40.8123,41.573216,42.748766,44.243956,45.406223,47.59489,55.284857,57.56928,54.57145423,57.83014726
        Albania,net consumption,Europe,3.68836,3.48978,4.48556,4.04258,4.0516,5.1278,3.16042,3.58068,5.06626,5.42946,4.44145,6.54566,6.78935,7.25992,6.62569,5.98605,7.50528,6.119331,6.39826,6.500145,6.65637,7.415870874
        Austria,net consumption,Europe,53.33642,55.44718,55.9188,57.81084,58.96108,60.53582,62.95548,63.31914,63.38822,60.781,63.023378,63.095032,64.017145,64.531622,63.511077,64.664019,65.552597,66.554708,66.831206,68.6259317,66.7428936,68.5343248
        Belgium,net consumption,Europe,78.53076,79.28752,80.098,81.41356,83.52596,83.06408,85.5111,85.21944,85.33778,79.07678,87.404352,84.733665,85.166338,85.228951,83.249713,84.153489,84.355224,84.94295,85.3523042,84.4756648,81.9030948,83.4132299
        Bosnia and Herzegovina,net consumption,Europe,7.3399,7.38858,7.48098,7.8861,8.27506,8.54176,8.47288,8.45802,10.56564,10.17526,11.06712,11.54542,11.90898,11.6261,11.3385,11.44932,11.87153,12.20166,12.25308,11.65745,10.41152,11.4477785
        Bulgaria,net consumption,Europe,27.4082,27.33136,28.27948,28.01322,27.82862,28.7814,30.03836,31.084732,31.71058,30.04748,30.18372,31.67922,31.1471,30.39022,30.8615,29.719049,30.268008,31.474095,30.5964996,30.1619512,29.6623552,30.32132826
        Croatia,net consumption,Europe,12.18404,12.34516,12.74052,12.83796,13.5151,14.23518,14.97544,15.45288,16.00566,15.21908,16.27512,16.1057,15.70014,15.46068,15.27506,15.729444,15.776593,16.482476,16.688812,16.7662931,15.7137589,15.93211966
        Cyprus,net consumption,Europe,2.98,3.105,3.391,3.65,3.735,3.95,4.152,4.364,4.622,4.667,4.78806,4.48494,4.3124,3.86922,3.93202,4.101208,4.407173,4.553059,4.6720586,4.732683,4.4134741,4.659154866
        Czechia,net consumption,Europe,53.638,55.48092,55.41756,56.7634,58.1821,59.30822,61.0812,61.48862,62.17362,58.80644,58.280448,57.795127,58.361826,58.005424,58.107983,59.20346,60.270976,61.475199,61.805699,61.7141812,59.6808725,61.914601
        Denmark,net consumption,Europe,32.78184,32.88744,33.20028,33.3268,33.92788,34.55092,34.97284,34.72604,34.356,32.82,34.154515,33.735034,33.322868,33.320282,32.738528,33.120167,33.381757,33.823852,33.5542043,34.0922942,35.3550586,38.1825901
        Estonia,net consumption,Europe,5.87254,5.8305,6.14144,6.52174,6.78336,6.88836,7.32888,7.6933,7.88696,7.48082,7.503114,7.232831,7.533739,7.468914,7.584939,7.679151,7.881563,7.988344,8.5479412,8.4680352,9.0281474,8.8419177
        Faroe Islands,net consumption,Europe,0.204017,0.221173,0.230724,0.238492,0.239156,0.235753,0.249856,0.25942,0.264851,0.264517,0.268143,0.264,0.28,0.28,0.297,0.306,0.306,0.324,0.3168,0.34784,0.3814,0.397132418
        Finland,net consumption,Europe,76.2067,78.16886,80.51898,81.70888,83.97366,81.83886,87.1797,87.4512,83.7973,78.45344,85.465048,82.122658,82.769807,82.172823,81.369693,80.790649,83.376716,83.468382,85.4644094,84.0471162,79.525978,83.7249711
        Former Czechoslovakia,net consumption,Europe,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Former Serbia and Montenegro,net consumption,Europe,30.205,29.998,30.692,30.285,29.784,27.254,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Former Yugoslavia,net consumption,Europe,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        France,net consumption,Europe,409.74366,420.4527,418.21038,435.4392,446.95728,452.11806,447.83318,449.71518,462.5325,446.59636,473.785653,449.868447,460.679742,465.150496,440.727747,450.044349,457.025221,454.23484,451.3417492,448.0217777,425.070898,447.4470538
        Germany,net consumption,Europe,509.08148,520.1949,532.51744,542.371,548.8792,543.7922,548.7564,552.6804,549.904,520.845,553.832042,547.112355,546.28479,544.830313,534.052503,537.623698,539.79954,540.634873,532.1598444,517.4728151,499.2452768,511.6603884
"        Germany, East",net consumption,Europe,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"        Germany, West",net consumption,Europe,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Gibraltar,net consumption,Europe,0.1135,0.11444,0.11726,0.12196,0.12384,0.1323,0.13694,0.1407,0.15104,0.15856,0.16138,0.15574,0.16044,0.17166,0.18012,0.20356,0.19516,0.19422,0.195573,0.19886,0.18845657,0.200984867
        Greece,net consumption,Europe,45.97792,47.33954,49.5354,51.67068,52.99664,54.13574,55.8125,58.35748,59.65142,58.8956,55.42106,54.080574,53.828754,50.60603,51.306551,52.580293,55.27019,55.649167,51.1158787,51.7588833,46.1605771,52.1395064
        Hungary,net consumption,Europe,31.83722,32.88344,33.99772,34.92322,35.34814,36.0282,36.90062,37.77576,37.72184,35.6388,36.354719,36.669597,36.870306,36.487384,37.195955,38.433949,39.036661,40.424479,41.1520503,41.7559378,41.715421,43.9138754
        Iceland,net consumption,Europe,7.3037,7.61376,7.95064,7.93864,8.16976,8.2347,9.44376,11.39788,15.76688,16.20288,16.047004,16.347998,16.81,17.625998,17.305,17.982002,17.682608,18.255294,18.878324,18.588793,18.238694,18.7089881
        Ireland,net consumption,Europe,20.24872,20.8957,21.78134,22.36862,23.11974,24.00382,25.08454,25.3,26.355,24.959,25.537675,24.834806,24.613475,24.843758,25.025564,25.779363,26.412548,27.025035,27.6690696,28.2406594,28.5251053,32.6454046
        Italy,net consumption,Europe,278.36228,284.27174,290.61424,294.97176,302.0686,306.6837,313.76748,314.7246,314.60706,297.3527,311.707063,315.890681,309.529113,299.787771,293.964149,300.060217,298.250334,304.722482,306.2798323,284.0286052,287.2633359,299.9218318
        Kosovo,net consumption,Europe,--,--,--,--,--,--,--,--,4.315,4.214,4.39234,4.93824,4.81918,4.92308,4.7929,4.89426,4.3011,4.964217,4.936412,5.224978,5.447915,5.550981154
        Latvia,net consumption,Europe,4.91522,5.01854,5.0766,5.58478,5.78042,6.09548,6.4277,6.82942,6.84128,6.32622,6.228351,6.211933,6.902188,6.632849,6.665335,6.554824,6.591053,6.633562,6.7783863,6.7294613,6.7635351,6.9167337
        Lithuania,net consumption,Europe,8.26574,8.00776,8.21864,8.5413,8.96488,8.874113,9.32336,9.6115,9.9867,9.19864,9.114739,9.329059,9.543548,9.617756,9.872046,10.022145,10.530611,10.872258,11.2425655,11.4044152,11.1330775,11.8215147
        Luxembourg,net consumption,Europe,5.8131,6.16693,5.74857,5.9818,6.22082,5.98358,6.44118,6.5513,6.44188,5.94242,6.644866,6.560106,6.289836,6.250793,6.24657,6.30309,6.447818,6.484742,6.5513041,6.4987854,6.2103255,6.4955446
        Malta,net consumption,Europe,1.56698,1.57042,1.65888,1.80784,1.79204,1.8496,1.84934,1.84424,1.84128,1.69992,1.81922,1.86186,1.93492,1.93204,1.9828,2.116942,2.118333,2.320635,2.3895808,2.4802487,2.3694354,2.4946277
        Montenegro,net consumption,Europe,--,--,--,--,--,--,3.66888,3.4504,3.47366,2.95966,3.25268,3.46788,3.26498,2.73154,2.64474,2.83828,2.81212,3.00358,2.605143,2.738641,2.398037,2.890510285
        Netherlands,net consumption,Europe,99.12144,101.21154,102.47842,103.88422,108.3549,108.32572,109.85752,112.22736,112.91308,107.84018,113.644574,114.93244,112.999435,112.388697,110.229709,111.085837,111.029976,111.808284,114.9065002,114.8093933,111.0098886,113.2784676
        North Macedonia,net consumption,Europe,5.54954,5.29284,5.31796,6.04816,6.1399,6.60982,6.78346,7.14072,7.26374,6.73252,7.08726,7.7135,7.31192,7.08494,7.00808,6.756922,6.32001,6.222653,6.2106788,6.3507704,6.3892705,6.732141077
        Norway,net consumption,Europe,112.97648,115.49142,109.59382,103.7594,109.15352,113.3512,110.46378,113.95484,115.65264,112.50728,120.145139,114.889083,118.688001,119.567004,117.052003,120.062,121.910002,123.252004,125.9534847,123.7427674,124.5268162,130.8432097
        Poland,net consumption,Europe,113.00534,113.30704,111.56592,115.57462,118.9993,119.644158,125.712265,129.299852,132.251356,127.555486,130.15379,133.155458,129.291424,133.268691,134.189713,137.874268,144.484086,147.072108,151.9292871,150.8425083,147.7011698,158.1944616
        Portugal,net consumption,Europe,38.56018,40.25568,41.61664,43.4106,45.0873,46.31462,48.03012,49.09648,48.67142,48.32542,51.06156,49.573619,47.513047,46.739815,46.552783,47.319549,47.819042,48.125497,49.3271795,49.1050443,47.7378714,47.7430319
        Romania,net consumption,Europe,42.354,43.107,42.639,45.562,46.748,47.76,48.882,49.763542,50.264,45.423,48.34224,49.76878,48.91808,46.71562,48.14312,46.906554,47.641488,49.091003,50.0582416,49.874945,48.2394141,50.52736748
        Serbia,net consumption,Europe,--,--,--,--,--,--,28.068,28.72022,28.93598,28.28732,29.08208,29.76958,29.00426,28.99582,28.10828,28.454154,28.859205,29.380551,29.2972363,29.3250308,29.2926642,31.08700068
        Slovakia,net consumption,Europe,24.85558,25.14924,25.38422,25.20378,25.75062,24.3567,25.43634,26.382,26.42378,24.85788,25.113489,25.83218,24.975069,26.015999,25.19853,25.526914,26.12642,27.15571,27.0274711,26.246413,25.1938628,26.1033634
        Slovenia,net consumption,Europe,10.98846,11.35354,12.12664,12.51132,12.97348,13.19588,13.65646,13.7473532,13.2981,11.777545,12.093544,12.649656,12.577595,12.625558,12.599574,12.934633,13.15711,13.656989,13.838658,13.9000331,13.1468176,13.7271202
        Spain,net consumption,Europe,193.91716,206.60256,212.10284,222.9205,232.26668,241.63076,251.56151,255.24199,258.78754,245.71838,251.500892,248.817998,245.509489,237.070861,234.45356,239.498544,241.446785,247.677537,247.4013205,243.9651788,228.8366163,233.9770099
        Sweden,net consumption,Europe,135.15614,137.73874,135.6542,133.07658,135.38929,135.48029,135.60741,135.92044,133.41521,128.30426,137.256154,129.411058,132.516952,129.519072,127.258633,129.694994,132.513653,132.484364,132.3395413,128.6438537,125.5921563,130.7561128
        Switzerland,net consumption,Europe,50.02196,51.41242,51.76598,52.9348,53.97618,55.27757,55.65783,55.15804,56.52986,55.2259,57.480367,56.578672,56.690307,57.029035,55.095366,55.903907,56.112644,56.394007,55.2878937,54.8775489,56.2586887,57.6972307
        Turkiye,net consumption,Europe,98.58816,97.40202,102.5606,110.4469,120.05146,129.0268,141.48314,153.69508,160.4358,155.77937,185.008075,189.216353,192.167962,224.885851,187.323389,222.344453,256.727659,245.4128954,223.3553144,265.5560654,298.8749291,284.2542337
        United Kingdom,net consumption,Europe,335.61762,338.5837,339.88031,342.71895,343.05598,351.07049,348.44823,345.0328,343.63429,323.73182,339.37752,328.282185,328.261434,327.229419,314.402287,320.635534,317.4593842,312.481032,313.6035513,309.2651075,295.0513947,287.3188985
        Afghanistan,net consumption,Asia & Oceania,0.442,0.567,0.657,0.889,0.844,0.889,1.069,1.345,1.28001,1.8731,2.2043,2.6133,3.549,4.2284,4.349,4.4402,4.9577,5.26056,5.51093,5.31469,5.28916,5.530597212
        American Samoa,net consumption,Asia & Oceania,0.159,0.161,0.168,0.177,0.177,0.178,0.181,0.184,0.187,0.178,0.159,0.155,0.1579,0.158,0.158,0.165,0.173,0.172,0.156,0.156,0.146212562,0.155598053
        Australia,net consumption,Asia & Oceania,182.96956,193.37082,199.56076,202.29056,211.34346,200.1373,204.131836,214.773976,214.640056,222.689996,219.107043,225.966257,220.378073,217.885825,232.303085,219.056959,231.72609,238.498993,238.8835944,238.6344388,239.4844909,237.485875
        Bangladesh,net consumption,Asia & Oceania,12.456,13.98606,15.22806,16.31784,21.23052,23.476,27.467,27.606,28.035,30.855,34.166931,37.133816,40.035069,43.003294,48.034271,48.25778,58.132,62.155178,65.97131,76.759722,72.96417473,77.67773423
        Bhutan,net consumption,Asia & Oceania,0.4,0.46904,0.5484,0.5543,0.5968,0.8078,1.86295,0.99431,0.96725,1.57314,1.78881,1.71986,1.82483,2.00423,2.08138,2.06929,1.93831,1.98431,2.25854,2.37475,2.524977979,3.268873742
        Brunei,net consumption,Asia & Oceania,2.36142,2.11726,2.19894,2.60754,2.94616,2.89416,2.92412,3.0263,3.05362,3.17728,3.19648,3.23262,3.45132,3.729,3.94676,3.67812,3.77086,3.4267,3.55548,4.14014,3.963896567,4.245993947
        Burma,net consumption,Asia & Oceania,3.30344,3.03898,3.40558,3.801,3.69394,3.45486,4.15366,4.2382,4.50894,4.83952,5.03532,6.9476,7.96104,9.53356,11.08232,13.14574,12.77562,16.18499,17.988794,19.05268,18.63952487,17.31460198
        Cambodia,net consumption,Asia & Oceania,0.38218,0.38652,0.59712,0.63486,0.60492,0.8317,1.02134,1.29056,1.50598,1.71842,2.1906,2.5222,3.21566,3.50742,4.0699,4.99694,6.0735,6.87582,8.44057,10.15534,10.95518604,10.90708477
        China,net consumption,Asia & Oceania,1178.033,1314.783,1459.429,1676.829,1955.39,2196.172,2523.947,2891.542,3070.853,3290.103,3716.55362,4182.66356,4439.87758,4846.24602,5078.71756,5273.535637,5585.625151,6057.175784,6450.426757,6802.698896,7115.077185,7805.656341
        Cook Islands,net consumption,Asia & Oceania,0.0241,0.0241,0.0261,0.0271,0.0271,0.0271,0.0301,0.0311,0.0321,0.0311,0.0321,0.0321,0.0301,0.0298,0.028447,0.028472,0.032679,0.038,0.047,0.043,0.035,0.03946
        Fiji,net consumption,Asia & Oceania,0.6311,0.6741,0.7111,0.7231,0.7531,0.7871,0.8481,0.8591,0.8741,0.8611,0.8983,0.8691,0.86,0.892,0.911496,0.955385,0.958025,1.047409,1.010093,1.04913172,1.004664,1.027828785
        French Polynesia,net consumption,Asia & Oceania,0.389,0.472,0.522,0.572,0.612,0.603,0.629,0.659,0.687,0.701,0.6293,0.6473,0.6423,0.5933,0.578554,0.580012,0.588004,0.587088,0.584043,0.6397,0.61842292,0.649411907
        Guam,net consumption,Asia & Oceania,1.7408605,1.7365,1.533,1.5268,1.5888,1.6353,1.643984,1.628074,1.626001,1.6169,1.6265,1.6142,1.4706,1.5734,1.541218,1.57458,1.641443,1.673732,1.640062,1.680562,1.606262,1.729080013
        Hawaiian Trade Zone,net consumption,Asia & Oceania,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Hong Kong,net consumption,Asia & Oceania,36.95,37.822,38.67,39.096,39.902,40.799,40.918,41.648,41.152097,41.721,42.10836,42.50032,43.64982,43.26222,44.58982,44.43456,44.64176,44.33592,44.793,45.4,44.215767,46.32022044
        India,net consumption,Asia & Oceania,383.924,391.979982,420.808,442.127,470.993,496.732,548.192,580.237,629.04,680.088,727.51078,841.71238,891.71308,946.3276169,1041.945749,1093.537704,1161.54307,1228.624117,1312.596163,1342.052063,1328.658815,1442.750051
        Indonesia,net consumption,Asia & Oceania,77.66996,82.9794,85.0239,88.86252,99.59422,106.775,111.956,120.61502,127.3824,133.47336,145.0577,157.06324,180.20471,192.98739,202.66545,208.10663,221.40104,232.14794,247.269816,254.669125,266.032579,281.5298376
        Japan,net consumption,Asia & Oceania,936.235,919.667,932.99,923.699,953.059,962.937,980.61,1020.313,954.104,926.602,1032.074897,997.232672,1000.306711,979.909071,983.904336,962.442903,956.720654,965.224223,963.9000025,944.8867835,914.5201395,913.0781497
        Kiribati,net consumption,Asia & Oceania,0.01209,0.01023,0.01209,0.016,0.019,0.0184,0.0194,0.0194,0.0185,0.0185,0.0203,0.0212,0.0203,0.02,0.021073,0.023402,0.025337,0.025337,0.025237,0.025137,0.027337,0.0290778
        Laos,net consumption,Asia & Oceania,0.60776,0.70943,0.77467,0.864,0.53517,0.988,1.41,1.61,1.925,2.267,2.358,2.425,2.9444,3.232,3.648,3.96746,4.37225,3.759248,4.284086,5.517933,7.022364,6.065839386
        Macau,net consumption,Asia & Oceania,1.489,1.601776,1.703716,1.795048,1.8405,2.118,2.399,2.959,3.2976,3.4359,3.6385,3.8558,4.2153,4.3016,4.5358,4.8925,5.1358,5.2775,5.417,5.6481,5.2786,5.629531551
        Malaysia,net consumption,Asia & Oceania,60.32766,60.78044,64.04936,68.32322,71.09982,69.12614,75.25478,81.9335,84.0136,102.708,109.84376,110.24754,119.31794,126.84968,126.83982,133.2845,137.13874,143.768566,146.607209,149.009743,142.3191813,150.7613646
        Maldives,net consumption,Asia & Oceania,0.098,0.109,0.118,0.133,0.15,0.17401,0.19903,0.23203,0.26503,0.28203,0.3431,0.3652,0.393,0.4,0.511,0.568,0.614,0.6,0.611,0.617,0.594425459,0.639484441
        Micronesia,net consumption,Asia & Oceania,,,,,,,,,,,,,,,,,,,,,,
        Mongolia,net consumption,Asia & Oceania,2.4,2.46738,2.55332,2.692512483,2.870012483,3.045692483,3.209472483,3.359432483,3.6513,3.5827,3.79464,3.87594,4.20158,5.15832,5.58422,5.77675,5.9351,6.257344,6.913238,7.331491,7.393867303,7.750090242
        Nauru,net consumption,Asia & Oceania,0.028,0.025,0.025,0.026,0.026,0.0264,0.0289,0.018,0.017,0.019,0.0209,0.0208,0.0168,0.0157,0.0162,0.0175928,0.019046,0.0237488,0.02618,0.031886,0.0345,0.037426351
        Nepal,net consumption,Asia & Oceania,1.428,1.441,1.757,1.746,1.865,1.952,2.154,2.29246,2.20846,2.58622,2.743958,3.108026,3.240089,3.657877,3.917444,3.909135,4.959379,5.85162,6.640246,6.694972,7.57437724,7.245611302
        New Caledonia,net consumption,Asia & Oceania,1.544,1.6218,1.6378,1.6475,1.572828391,1.7681,1.7559,1.808,1.7122,1.7662,1.9503,2.0854,2.1037,2.317729,2.79372,2.693606,2.868539,2.99334,2.930038,3.0774,3.0804,3.296477019
        New Zealand,net consumption,Asia & Oceania,35.15562783,35.31635501,36.46736231,36.63347775,38.53333901,38.54792891,39.05189275,39.39177712,39.2620514,39.17790987,40.4687909,40.26868576,40.14682659,39.46374479,39.80060463,40.43637063,39.96402029,40.36681044,40.47885383,40.81904293,40.22592118,40.51547044
        Niue,net consumption,Asia & Oceania,0.00279,0.00279,0.00279,0.00279,0.00279,0.00279,0.002676,0.002677,0.00269,0.00287,0.002788889,0.002780556,0.002777778,0.002777778,0.002788889,0.002777778,0.00276,0.00276,0.0026,0.0026,0.00308,0.003307615
        North Korea,net consumption,Asia & Oceania,15.68,16.325,15.99558,17.00626,17.80756,18.57464,18.17564,17.49402,18.84982,17.46556,17.95156,15.95384,15.92224,15.23548,14.86486,11.39718,14.03284,12.33334,12.76944,11.27962,12.70086662,12.10801386
        Northern Mariana Islands,net consumption,Asia & Oceania,,,,,,,,,,,,,,,,,,,,,,ie
        Pakistan,net consumption,Asia & Oceania,46.854,49.98,52.402,57.185,60.215,67.265,72.574,72.23,68.559,73.529,79.436,79.049,82.098,88.421295,90.143952,95.57,100.566,111.02,123.6062,119.153,119.390716,132.3234316
        Papua New Guinea,net consumption,Asia & Oceania,1.965,2.422,2.607,2.897,2.934,2.7705,2.7975,2.8155,2.6935,2.9625,2.9815,3.1165,3.1865,3.355892,3.503792,3.715329556,3.937559778,3.926733,4.112638,4.136722222,4.345555556,4.563458391
        Philippines,net consumption,Asia & Oceania,37.315,39.504,40.555,43.864,46.419,47.371,47.6200188,49.472,50.630109,51.833691,56.9158,61.451,64.515,67.498,69.79,74.921,82.534,86.120858,90.772213,96.088512,92.733096,98.46767231
        Samoa,net consumption,Asia & Oceania,0.082,0.0989,0.1125,0.1025,0.0901,0.0914,0.0926,0.0954,0.1011,0.102,0.1011,0.1091,0.0926,0.092,0.1072,0.11573,0.126684,0.13277,0.139494,0.14183,0.15546,0.162506587
        Singapore,net consumption,Asia & Oceania,27.853,30.063,31.256,32.255,33.391,35.644,36.967,38.458,39.202,39.142,40.77408,42.50176,43.6635,44.55018,45.95226,46.97116,48.11466,49.058672,49.956021,51.182545,50.367609,52.91064061
        Solomon Islands,net consumption,Asia & Oceania,0.058,0.059,0.06,0.059,0.059,0.07,0.072,0.082,0.082,0.082,0.084,0.086,0.082,0.088076,0.091476,0.094519,0.102122,0.092222,0.090895,0.09077126,0.090845,0.096444086
        South Korea,net consumption,Asia & Oceania,259.54233,279.25456,296.4001,312.89178,332.92648,350.19378,364.48528,387.02124,402.89236,409.23182,458.783746,481.907834,492.878837,497.599475,504.727892,505.535225,516.627693,520.97747,542.9004483,534.2725603,531.7351135,567.6724331
        Sri Lanka,net consumption,Asia & Oceania,4.985,5.25,5.489,5.975,6.524,7.434,6.863,7.9449,8.129,8.175,8.95416,9.78124,10.16774,10.46356,10.54444,11.80048,12.69362,13.85705,13.55025,14.502276,14.08386626,14.85574145
        Taiwan,net consumption,Asia & Oceania,171.93661,175.4792084,185.3728714,195.3109895,205.3701945,213.8776071,221.3045935,229.0773278,225.7812575,216.6057582,233.790852,238.5170418,237.7819377,241.5117774,247.3343745,246.269679,251.6314607,257.2510139,262.1894571,261.2194853,266.5533494,278.146543
        Thailand,net consumption,Asia & Oceania,84.7560816,89.02788243,96.29158028,102.6883511,110.238387,116.1467796,122.6246755,126.7970369,129.2471697,129.560325,146.1125051,145.7597714,156.2629147,161.0410532,162.5983873,167.097483,183.9341023,193.1964227,194.7743274,199.9904776,193.2048932,202.5913037
        Timor-Leste,net consumption,Asia & Oceania,--,--,--,0.053,0.053,0.055,0.058,0.0738,0.088514,0.105701,0.10861,0.1121,0.101,0.236,0.28,0.2763,0.3346,0.3441,0.362455,0.414247,0.404594,0.430617159
        Tonga,net consumption,Asia & Oceania,0.025,0.033,0.034,0.038,0.04,0.037,0.038,0.04,0.042,0.04288,0.04178,0.04141,0.04434,0.046075,0.04819622,0.04914408,0.05206558,0.054726,0.06099,0.062448,0.06794,0.07202576
        Tuvalu,net consumption,Asia & Oceania,,,,,,,,,,,,,,,,,,,,,,
        U.S. Pacific Islands,net consumption,Asia & Oceania,0.341,0.348,0.355,0.354,0.36,0.365,0.386,0.394,0.394,0.397,0.529,0.531,0.528,0.534,0.542,0.55,0.515,0.509,0.519,0.48437,0.458091056,0.489689203
        Vanuatu,net consumption,Asia & Oceania,0.035,0.039457143,0.039,0.038,0.037,0.038,0.039,0.0424,0.04857,0.04857,0.05455,0.053688,0.057275,0.058625,0.05724558,0.05548172,0.06291496,0.06363426,0.06332036,0.06385674,0.060934231,0.065950234
        Vietnam,net consumption,Asia & Oceania,22.038,25.44,29.547,34.148,38.142,45.485,52.056,58.82036,66.1187,75.687,85.90512,94.1197,104.25082,107.12432,122.0132,144.73546,161.25212,176.08334,195.72484,212.91744,216.8802608,228.9733093
        Wake Island,net consumption,Asia & Oceania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Bahrain,net consumption,Middle East,12.466,13.148,13.795,14.452,14.501,17.794,19.346,20.024,19.322,19.337,20.95356,22.51372,22.6403,23.86184,25.06007,26.17121,26.19365,26.89075,27.44649,31.039,29.46138729,31.37811543
        Iran,net consumption,Middle East,94.35608,101.70472,109.41404,119.98682,126.99336,135.19698,146.07354,153.26264,162.10814,169.8324,182.7144,186.1383,195.32188,215.70767,233.224,236.544,252.252,268.628759,271.485472,283.763607,286.693449,301.9687305
        Iraq,net consumption,Middle East,27.27666,28.13102,29.53124,24.99458,29.68088,20.997,25.22542,20.12058,19.75297,30.19193,34.09488,37.31564,33.84944,44.1171,41.84478,40.37148,38.46046,41.311035,49.269492,56.858239,50.789426,52.73421624
        Israel,net consumption,Middle East,37.2082,38.57514,39.99492,41.31412,41.6006,42.63222,44.30702,47.05792,48.516,49.196,52.977,53.737,56.841,54.079,54.275,56.565,58.9424,59.572281,60.510199,62.617519,62.167039,63.358029
        Jordan,net consumption,Middle East,6.54602,6.48612,6.96774,7.36036,8.1247,8.52366,9.3944,10.38638,11.28716,11.63882,12.51676,13.27514,14.52244,14.76206,15.58588,16.29326,16.77382,17.56996,17.28854,17.3078,17.9182,19.68910483
        Kuwait,net consumption,Middle East,26.82762,28.46806,30.18028,33.03588,34.24264,36.14296,39.31358,39.87682,42.13006,43.40804,47.18608,47.17466,50.16886,49.59852,55.48002,58.15226,59.65308,61.90968,63.0578,63.80236,60.30420185,64.57876384
        Lebanon,net consumption,Middle East,9.20952,9.25796,10.42242,10.93134,10.44052,10.60778,10.3451,10.76678,11.45602,12.34206,14.19332,14.34094,14.22316,16.4446,15.16452,15.95142,16.37502,18.305002,17.756913,18.230846,17.60857559,18.85709846
        Oman,net consumption,Middle East,6.715,7.301,7.603,7.827,8.675,9.08,10.466,10.37698,12.00926,13.41362,15.60286,17.71956,20.10598,21.7956,24.21132,27.62652,28.92932,30.65744,31.79716,32.48802,30.59803977,32.7798173
        Palestinian Territories,net consumption,Middle East,1.983,1.8244,2.124,2.2639,2.43,2.7266,2.8005,2.931,3.4915,3.5563,3.9092,3.8653,4.806,4.71086,4.62178,5.1854,5.26,5.35877,5.554376,6.174616,5.964990567,6.23388887
        Qatar,net consumption,Middle East,7.953,8.66,9.52,10.454,11.523,12.513,14.841,16.906,18.789,21.192,24.68836,26.9722,30.54278,30.508671,34.137986,36.659566,37.367944,40.264064,42.395584,44.234984,41.87980478,44.61817631
        Saudi Arabia,net consumption,Middle East,109.489,118.078,123.405,136.818,137.355,146.978,156.75,163.413,174.236,186.092,204.27298,211.49538,247.55902,263.96886,295.08274,312.08536,318.60396,323.06642,330.59566,331.5737,308.3425776,329.0072713
        Syria,net consumption,Middle East,16.158,17.785,19.549,20.938,23.232,25.656,27.305,28.50716,29.92976,31.51548,33.58574,30.37638,26.27354,18.02066,15.45202,12.90486,13.25762,13.038812,12.808595,12.565294,11.79648854,12.75392781
        United Arab Emirates,net consumption,Middle East,36.196,37.484,40.683,42.935,45.511,53.299,58.63,69.16,72.085,77.606,82.517,87.06678,93.242,96.5841,102.326,111.857,114.463,118.211,119.98748,122.623,119.5158891,128.61007
        Yemen,net consumption,Middle East,2.26,2.394,2.609,2.872,3.126,3.407,3.688,4.13338,4.64524,4.70036,5.4377,4.24376,4.32162,5.80594,5.27324,4.50032,3.35542,2.859879,2.574081,2.739926,2.647696194,2.931320206
        Bermuda,net consumption,North America,0.595,0.643681818,0.643,0.624,0.627164,0.652436,0.666401,0.67555,0.685,0.69372,0.686411,0.674,0.658,0.637,0.62,0.634,0.625,0.5883,0.5645,0.533434,0.504404156,0.539310022
        Canada,net consumption,North America,505.225524,505.604054,513.18464,528.233048,534.064122,560.37862,550.193991,560.760367,559.070389,535.105882,530.103604,548.219153,539.186083,560.744571,559.348308,543.406076,548.451276,547.034675,554.0621157,547.2500179,533.5070587,554.7443874
        Greenland,net consumption,North America,0.421,0.388,0.382,0.33,0.28482,0.29664,0.32412,0.32824,0.33834,0.3608,0.35126,0.38362,0.37282,0.38214,0.40566,0.43718,0.46466,0.45166,0.49552,0.4817,0.576712054,0.582709742
